,player_id,player,birth_date,height,weight,batting_hand,throwing_hand,position
379,77318,장시환,1987-11-01,184cm, 93kg,우타,우투,P
380,73801,송은범,1984-03-17,182cm, 93kg,우타,우투,P
381,50558,스트레일리,1988-12-01,189cm, 100kg,우타,우투,P
382,76355,장원삼,1983-06-09,181cm, 81kg,좌타,좌투,P
383,64565,이인복,1991-06-18,187cm, 94kg,우타,우투,P
384,66609,전상현,1996-04-18,182cm, 84kg,우타,우투,P
385,69940,루친스키,1988-12-30,188cm, 91kg,우타,우투,P
386,67263,최원준,1997-03-23,178cm, 81kg,좌타,우투,P
387,79358,강윤구,1990-07-10,183cm, 89kg,좌타,좌투,P
388,63248,함덕주,1995-01-13,181cm, 78kg,좌타,좌투,P
389,64805,이승진,1995-01-07,186cm, 88kg,우타,우투,P
390,69032,쿠에바스,1990-10-14,188cm, 98kg,양타,우투,P
391,62869,문승원,1989-11-28,183cm, 85kg,우타,우투,P
392,75340,전유수,1986-11-29,185cm, 95kg,좌타,우투,P
393,65057,이창재,1992-12-29,178cm, 71kg,좌타,좌투,P
394,76757,유원상,1986-06-17,187cm, 93kg,우타,우투,P
395,75138,신재웅,1982-03-28,181cm, 85kg,좌타,좌투,P
396,68043,김민,1999-04-14,185cm, 88kg,우타,우투,P
397,60768,이태양,1990-07-03,192cm, 97kg,좌타,우투,P
398,62363,한현희,1993-06-25,182cm, 98kg,우타,우언,P
399,65496,홍정우,1996-03-16,182cm, 85kg,우타,우투,P
400,63492,이재익,1994-03-18,180cm, 76kg,좌타,좌투,P
401,99445,권오준,1980-03-09,182cm, 80kg,우타,우언,P
402,69328,박주성,2000-11-09,181cm, 95kg,우타,우투,P
403,63348,조성운,1989-10-02,185cm, 88kg,우타,우투,P
404,50157,김윤식,2000-04-03,181cm, 83kg,좌타,좌투,P
405,69744,서폴드,1990-01-16,188cm, 101kg,우타,우투,P
406,64021,박세웅,1995-11-30,183cm, 79kg,우타,우투,P
407,62754,임기영,1993-04-16,184cm, 78kg,우타,우언,P
