,player,player_id,birth_date,height_weight,batting_hand,throwing_hand,position
289,노시환,69737,2000-12-03,"185cm, 96kg",우타,우투,P
290,오승환,75421,1982-07-15,"178cm, 93kg",우타,우투,P
291,강재민,50705,1997-04-03,"180cm, 86kg",우타,우투,P
292,이승민,50464,2000-08-26,"174cm, 79kg",좌타,좌투,P
293,한승주,50726,2001-03-17,"184cm, 83kg",우타,우투,P
294,김진호,67954,1998-06-07,"183cm, 90kg",우타,우투,P
295,정해영,50662,2001-08-23,"189cm, 98kg",우타,우투,P
296,서덕원,66663,1993-07-12,"183cm, 89kg",우타,우투,P
297,이재익,63492,1994-03-18,"180cm, 76kg",좌타,좌투,P
298,김동혁,50360,2001-12-27,"183cm, 83kg",우타,우투,P
299,최준용,50556,2001-10-10,"185cm, 85kg",우타,우투,P
300,이정용,69134,1996-03-26,"186cm, 85kg",우타,우투,P
301,이찬혁,67164,1998-08-19,"187cm, 90kg",우타,우투,P
302,신민혁,68902,1999-02-04,"184cm, 95kg",우타,우투,P
303,박진우,63991,1990-02-12,"180cm, 83kg",우타,우언,P
304,박진형,63512,1994-06-10,"181cm, 80kg",우타,우투,P
305,구승민,63543,1990-06-12,"181cm, 80kg",우타,우투,P
306,송명기,69962,2000-08-09,"191cm, 93kg",우타,우투,P
307,오현택,79293,1985-07-17,"180cm, 73kg",우타,우언,P
308,김원중,62528,1993-06-14,"191cm, 97kg",좌타,우투,P
309,임정호,63959,1990-04-16,"188cm, 85kg",좌타,좌투,P
310,배재환,64995,1995-02-24,"186cm, 95kg",우타,우투,P
311,송승준,77591,1980-06-29,"184cm, 105kg",우타,우투,P
312,원종현,76118,1987-07-31,"182cm, 83kg",우타,우언,P
313,알칸타라,69045,1992-12-04,"193cm, 100kg",우타,우투,P
314,요키시,69343,1989-07-29,"188cm, 93kg",우타,좌투,P
315,김태훈,62360,1996-03-31,"177cm, 78kg",좌타,우투,P
316,이현승,76329,1983-10-11,"179cm, 87kg",좌타,좌투,P
317,홍건희,61643,1992-09-29,"185cm, 92kg",우타,우투,P
318,이영준,64051,1991-10-10,"184cm, 97kg",좌타,좌투,P
319,이형범,62951,1994-02-27,"181cm, 86kg",우타,우투,P
320,안우진,68341,1999-08-30,"191cm, 90kg",우타,우투,P
321,채지선,65241,1995-07-11,"180cm, 70kg",좌타,우투,P
322,김상수,76430,1990-03-23,"175cm, 68kg",우타,우투,P
323,원태인,69446,2000-04-06,"183cm, 92kg",우타,우투,P
324,김범수,65769,1995-10-03,"182cm, 81kg",좌타,좌투,P
325,김대우,61365,1984-07-26,"189cm, 95kg",좌타,우투,P
326,김진욱,68701,2000-01-13,"176cm, 79kg",우타,우투,P
327,이승현,60146,1991-11-20,"181cm, 92kg",우타,우투,P
328,안영명,73738,1984-11-19,"183cm, 90kg",우타,우투,P
329,강재민,50705,1997-04-03,"180cm, 86kg",우타,우투,P
330,김윤수,68403,1999-12-08,"183cm, 94kg",우타,우투,P
331,김종수,63765,1994-06-03,"180cm, 80kg",우타,우투,P
332,오승환,75421,1982-07-15,"178cm, 93kg",우타,우투,P
333,정우람,74857,1985-06-01,"181cm, 82kg",좌타,좌투,P
334,정찬헌,78148,1990-01-26,"187cm, 94kg",우타,우투,P
335,김세현,76350,1987-08-07,"188cm, 98kg",우타,우투,P
336,최성훈,62146,1989-10-11,"178cm, 75kg",좌타,좌투,P
337,정우영,69159,1999-08-19,"193cm, 85kg",우타,우언,P
338,진해수,76650,1986-06-26,"187cm, 85kg",좌타,좌투,P
339,고우석,67119,1998-08-06,"182cm, 90kg",우타,우투,P
340,최채흥,68419,1995-01-22,"186cm, 97kg",좌타,좌투,P
341,김민우,65764,1995-07-25,"189cm, 105kg",우타,우투,P
342,송윤준,61156,1992-07-16,"186cm, 78kg",좌타,좌투,P
343,최지광,67421,1998-03-13,"173cm, 85kg",우타,우투,P
344,우규민,73117,1985-01-21,"184cm, 75kg",좌타,우언,P
345,임준섭,62611,1989-07-16,"181cm, 88kg",좌타,좌투,P
346,윤대경,63464,1994-04-09,"179cm, 75kg",우타,우투,P
347,윤호솔,63961,1994-07-15,"183cm, 99kg",우타,우투,P
348,양현종,77637,1988-03-01,"183cm, 91kg",좌타,좌투,P
349,데스파이네,50040,1987-04-04,"182cm, 92kg",우타,우투,P
350,홍상삼,78247,1990-02-13,"188cm, 85kg",좌타,우투,P
351,문경찬,65643,1992-07-08,"186cm, 85kg",우타,우투,P
352,조현우,64047,1994-03-30,"182cm, 79kg",좌타,좌투,P
353,고영창,63628,1989-02-24,"189cm, 100kg",우타,우투,P
354,이보근,75342,1986-04-30,"187cm, 90kg",우타,우투,P
355,박종훈,60841,1991-08-13,"186cm, 85kg",우타,우언,P
356,임찬규,61101,1992-11-20,"185cm, 80kg",우타,우투,P
357,박희수,76858,1983-07-13,"184cm, 88kg",좌타,좌투,P
358,이정용,69134,1996-03-26,"186cm, 85kg",우타,우투,P
359,정용운,79617,1990-07-06,"185cm, 90kg",좌타,좌투,P
360,유희관,79229,1986-06-01,"180cm, 88kg",좌타,좌투,P
361,최원태,65320,1997-01-07,"184cm, 93kg",우타,우투,P
362,김강률,77263,1988-08-28,"187cm, 95kg",우타,우투,P
363,양현,61268,1992-08-23,"188cm, 70kg",우타,우언,P
364,박치국,67266,1998-03-10,"177cm, 78kg",우타,우언,P
365,조상우,63342,1994-09-04,"186cm, 97kg",우타,우투,P
366,켈리,69103,1989-10-04,"191cm, 98kg",우타,우투,P
367,장시환,77318,1987-11-01,"184cm, 93kg",우타,우투,P
368,송은범,73801,1984-03-17,"182cm, 93kg",우타,우투,P
369,스트레일리,50558,1988-12-01,"189cm, 100kg",우타,우투,P
370,장원삼,76355,1983-06-09,"181cm, 81kg",좌타,좌투,P
371,이인복,64565,1991-06-18,"187cm, 94kg",우타,우투,P
372,전상현,66609,1996-04-18,"182cm, 84kg",우타,우투,P
373,루친스키,69940,1988-12-30,"188cm, 91kg",우타,우투,P
374,최원준,67263,1997-03-23,"178cm, 81kg",좌타,우투,P
375,강윤구,79358,1990-07-10,"183cm, 89kg",좌타,좌투,P
