,player_id,player_name,birth_date,throwing_hand,batting_hand,position
385,68403,김윤수,1999-12-08,우투,우타,투수
386,69953,프리드릭,1987-07-08,좌투,우타,투수
387,69168,이상영,2000-12-03,좌투,좌타,투수
388,69439,라이블리,1992-03-05,우투,우타,투수
389,65117,이상규,1996-10-20,우투,우타,투수
390,78517,하준호,1989-04-29,좌투,좌타,투수
391,69068,이선우,2000-09-19,우투,우타,투수
392,65398,임규빈,1991-09-21,우투,우타,투수
393,63103,유원석,1989-11-18,우언,우타,투수
394,67962,소이현,1999-02-09,우투,우타,투수
395,68050,강백호,1999-07-29,우투,좌타,1루수
396,50815,킹엄,1991-11-08,우투,우타,투수
397,50040,데스파이네,1987-04-04,우투,우타,투수
398,50558,스트레일리,1988-12-11,우투,우타,투수
399,62294,이동원,1993-12-15,우투,우타,투수
400,65241,채지선,1995-07-11,우투,좌타,투수
401,50157,김윤식,2000-04-03,좌투,좌타,투수
402,66630,김현준,1997-06-05,우투,우타,투수
403,67391,김재웅,1998-10-22,좌투,좌타,투수
404,50835,핀토,1994-01-20,우투,우타,투수
405,50912,라이트,1990-01-03,우투,우타,투수
406,50126,이민호,2001-08-30,우투,우타,투수
407,50636,브룩스,1990-04-27,우투,우타,투수
408,65411,김주온,1996-12-08,우투,우타,투수
409,50404,뷰캐넌,1989-05-11,우투,우타,투수
410,50234,플렉센,1994-07-01,우투,우타,투수
411,50640,가뇽,1990-06-26,우투,우타,투수
412,50030,소형준,2001-09-16,우투,우타,투수
413,62908,황윤호,1993-09-22,우투,우타,2루수
414,69098,김성훈,1996-02-25,우투,우타,투수
415,50441,황동재,2001-11-03,우투,우타,투수
416,50036,이강준,2001-12-14,우투,우타,투수
417,61156,송윤준,1992-07-16,좌투,좌타,투수
418,50524,샘슨,1991-10-07,우투,우타,투수
419,50449,허윤동,2001-06-19,좌투,좌타,투수
420,67259,문대원,1998-08-22,우투,우타,투수
421,63464,윤대경,1994-04-09,우투,우타,투수
422,69737,노시환,2000-12-03,우투,우타,3루수
423,50296,조제영,2001-02-12,우투,우타,투수
424,75421,오승환,1982-07-15,우투,우타,투수
425,50705,강재민,1997-04-03,우투,우타,투수
426,67045,조병욱,1998-06-08,우투,우타,투수
427,50464,이승민,2000-08-26,좌투,좌타,투수
428,50726,한승주,2001-03-17,우투,우타,투수
429,63292,박종기,1995-01-21,우투,우타,투수
430,67954,김진호,1998-06-07,우투,우타,투수
431,50900,임형원,2001-09-15,우투,우타,투수
432,69205,이교훈,2000-05-29,좌투,좌타,투수
433,50592,박명현,2001-06-16,우투,우타,투수
434,50662,정해영,2001-08-23,우투,우타,투수
435,66039,한승지,1997-05-19,우투,우타,투수
436,66663,서덕원,1993-07-12,우투,우타,투수
437,63492,이재익,1994-03-18,좌투,좌타,투수
438,50360,김동혁,2001-12-27,우투,우타,투수
439,50556,최준용,2001-10-10,우투,우타,투수
440,69134,이정용,1996-03-26,우투,좌타,투수
441,67164,이찬혁,1998-08-19,우투,우타,투수
442,68902,신민혁,1999-02-04,우투,우타,투수
443,65057,이창재,1992-12-29,좌투,좌타,투수
444,64896,서동민,1994-03-07,우투,우타,투수
445,66557,한승혁,1996-05-20,좌투,좌타,투수
446,63914,손정욱,1990-12-24,좌투,좌타,투수
447,50298,최세창,2001-06-01,우투,우타,투수
448,69703,오동욱,2001-02-04,우투,우타,투수
449,50859,오원석,2001-04-23,좌투,좌타,투수
450,68910,이승헌,1995-12-20,좌투,좌타,투수
451,50203,권휘,2000-12-07,우투,우타,투수
452,50109,성재헌,1997-12-22,좌투,좌타,투수
453,50397,박관진,1997-03-26,우투,우타,투수
454,50262,이주엽,2001-03-26,우투,우타,투수
455,65937,이호중,1992-10-13,우투,우타,투수
456,64580,김재열,1996-01-02,우투,우타,투수
457,69104,남호,2000-07-20,좌투,좌타,투수
458,50813,양선률,1997-04-15,우투,우타,투수
459,67711,김기탁,1998-09-30,좌투,좌타,투수
460,64041,안현준,1995-03-23,우언,우타,투수
461,50706,장웅정,1997-04-11,우투,우타,투수
462,68207,배창현,1998-12-09,좌투,좌타,투수
463,65949,류진욱,1996-10-10,우투,우타,투수
464,50430,홍원표,2001-03-27,우투,우타,투수
465,67956,김태현,1998-03-21,좌투,좌타,투수
466,50992,김태경,2001-04-07,우투,우타,투수
467,50901,안인산,2001-02-27,우투,우타,투수
468,62768,김원석,1989-10-29,우투,우타,중견수
469,71347,장민석,1982-05-09,좌투,좌타,중견수
470,71752,김태균,1982-05-29,우투,우타,1루수
471,66740,로사리오,1989-02-23,우투,우타,1루수
472,76249,민병헌,1987-03-10,우투,우타,우익수
473,77248,오재원,1985-02-09,우투,좌타,2루수
474,66244,에반스,1986-01-30,우투,우타,지명타자
475,74729,최진행,1985-08-17,우투,우타,좌익수
476,77464,임익준,1988-03-15,우투,우타,유격수
477,98144,조인성,1975-05-25,우투,우타,포수
478,78224,김재환,1988-09-22,우투,좌타,좌익수
479,76232,양의지,1987-06-05,우투,우타,포수
480,75334,오재일,1986-10-29,좌투,좌타,1루수
481,61700,강경학,1992-08-11,우투,좌타,2루수
482,64086,신성현,1990-10-19,우투,우타,3루수
483,79215,박건우,1990-09-08,우투,우타,우익수
484,79240,허경민,1990-08-26,우투,우타,3루수
485,74206,김재호,1985-03-21,우투,우타,유격수
486,75808,정근우,1982-10-02,우투,우타,2루수
487,73725,이양기,1981-01-31,우투,우타,우익수
488,62234,류지혁,1994-01-13,우투,좌타,3루수
489,67650,버나디나,1984-06-12,좌투,좌타,중견수
490,73606,서동욱,1984-03-21,우투,우타,2루수
491,70410,김주찬,1981-03-25,우투,우타,좌익수
492,62415,박해민,1990-02-24,우투,좌타,중견수
493,61404,김헌곤,1988-11-09,우투,우타,좌익수
494,62404,구자욱,1993-02-12,우투,좌타,우익수
495,67450,러프,1986-07-28,우투,우타,1루수
496,72443,최형우,1983-12-16,우투,좌타,좌익수
497,78629,나지완,1985-05-19,우투,우타,지명타자
498,70756,이범호,1981-11-25,우투,우타,3루수
499,74605,김주형,1985-12-15,우투,우타,유격수
500,95436,이승엽,1976-08-18,좌투,좌타,1루수
501,75566,이원석,1986-10-21,우투,우타,3루수
502,79456,이지영,1986-02-27,우투,우타,포수
503,63634,이홍구,1990-12-11,우투,우타,포수
504,78603,김선빈,1989-12-18,우투,우타,유격수
505,64610,강한울,1991-09-12,우투,우타,3루수
506,72466,조동찬,1983-07-27,우투,우타,3루수
507,78454,우동균,1989-12-03,우투,좌타,중견수
508,77648,이호신,1984-06-18,좌투,좌타,중견수
509,72559,신종길,1983-12-31,우투,좌타,우익수
510,79465,배영섭,1986-06-27,우투,우타,중견수
511,73153,이대형,1983-07-19,좌투,좌타,중견수
512,74339,유한준,1981-07-01,우투,우타,우익수
513,73113,박경수,1984-03-31,우투,우타,2루수
